time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
42,-46.525318145752,48.5099639892578,238.590789794922,-69.0830688476563,48.3210144042969,11.594638074164727,19.350767080507445,-0.521146832036407,-0.8534670347813189,0.8534670347813189,-0.5211468320364069,59.070702917560055,30.92929708243994,9.05854203344979,10.79636138832106,29.115614833771396,100.0,100,88.46104155484176,28.001417780243827,0.5,2.8,20,15,12,13.5
43,-48.8041191101074,47.1455116271973,242.621719360352,-71.7098922729492,48.5184288024902,11.752658638075648,19.708738181188664,-0.4598632036875065,-0.8879897712779483,0.8879897712779482,-0.4598632036875065,59.19165117945657,30.808348820543433,9.446880959245377,10.754142480427891,29.167857166393723,100.0,100,88.44731327798554,28.224115387589354,0.5,2.8,20,15,12,13.5
44,-51.2115020751953,45.9280395507813,246.817321777344,-74.4583892822266,48.7243194580078,11.721955587220432,20.269008445092375,-0.39366401671512236,-0.9192543945740568,0.9192543945740568,-0.3936640167151223,59.95838319500275,30.04161680499725,9.914460193136943,10.486502517393227,29.505711655120557,100.0,100,88.37363035894215,29.64921626154008,0.5,2.8,20,15,12,13.5
45,-53.6519393920898,44.9044342041016,250.588638305664,-77.3061218261719,48.9455795288086,11.672857717305034,20.966535118416484,-0.3323481654378263,-0.9431567721911936,0.9431567721911938,-0.3323481654378263,60.89367037686961,29.10632962313039,10.496899844776607,10.160025701887712,29.934182534724343,100.0,100,88.31643703473428,31.420293104163097,0.5,2.8,20,15,12,13.5
46,-56.2128715515137,44.0219421386719,254.073043823242,-80.2136001586914,49.1379127502441,11.50566017251305,21.675514133891163,-0.27441166267346234,-0.9616123124153443,0.9616123124153445,-0.27441166267346234,62.04002437501672,27.95997562498328,11.039929278094277,9.75987266866635,30.485718423463627,100.0,100,88.29908031919304,33.64379337466147,0.5,2.8,20,15,12,13.5
47,-58.7443237304688,43.3099784851074,256.829383850098,-83.7676391601563,48.9999961853027,11.241947895414892,23.068619898878854,-0.2278515450978839,-0.9736958834238271,0.9736958834238271,-0.22785154509788394,64.01880274783898,25.981197252161024,12.162085194351857,9.069148713206266,31.514006659860282,100.0,100,88.4216297166981,37.63439692274302,0.5,2.8,20,15,12,13.5
48,-61.4505653381348,42.6810264587402,258.699417114258,-86.5572738647461,48.344482421875,10.473469841843194,23.510167501712623,-0.1959561202953223,-0.9806126650817871,0.9806126650817871,-0.1959561202953223,65.98765776899644,24.012342231003558,12.237551291577514,8.381888660933859,32.64787076705668,100.0,100,88.76502978472817,41.82645328349856,0.5,2.8,20,15,12,13.5
49,-64.1870498657227,42.1290702819824,259.400695800781,-89.1142807006836,47.273983001709,9.64222830128424,23.555559797613444,-0.18393941381795756,-0.9829375829849553,0.9829375829849554,-0.18393941381795756,67.73876107745349,22.26123892254651,11.952641591650753,7.770638295431032,33.76637190819115,100.0,100,89.29053104358918,45.7749565891754,0.5,2.8,20,15,12,13.5
50,-67.0085372924805,41.5889320373535,258.863121032715,-91.4840087890625,45.9751930236816,9.031185378965382,23.16734082865239,-0.193153544852734,-0.9811685421530916,0.9811685421530913,-0.193153544852734,68.70296986368162,21.297030136318384,11.365397451482291,7.434065935504251,34.43352657281559,100.0,100,89.68243776504308,48.051668526219274,0.5,2.8,20,15,12,13.5
51,-69.9661026000977,40.991828918457,257.37377166748,-93.8082885742188,44.4441566467285,8.5805019866961,22.510961428252546,-0.21858996468213487,-0.9758168000912175,0.9758168000912176,-0.2185899646821349,69.13465690593041,20.865343094069587,10.590836406566908,7.283378730995505,34.745313991653916,100.0,100,89.88408843009525,49.097167536520416,0.5,2.8,20,15,12,13.5
52,-72.9304885864258,40.3143844604492,255.357650756836,-95.8257293701172,42.7624092102051,8.156082525772597,21.532839885890823,-0.2527845558105987,-0.967522593195445,0.9675225931954448,-0.2527845558105987,69.2546090228742,20.745390977125794,9.525743760378813,7.2415075432873754,34.83346439457019,100.0,100,89.94314991034503,49.390707667935736,0.5,2.8,20,15,12,13.5
53,-75.9935913085938,39.504524230957,253.231201171875,-97.879997253418,40.4469680786133,7.216824533426874,20.683819986679172,-0.2885104331646212,-0.9574767516525727,0.9574767516525727,-0.2885104331646212,70.76552831098473,19.234471689015265,8.406687690922627,6.714097217099024,36.00455487625966,100.0,100,90.8085819603966,53.20963754464206,0.5,2.8,20,15,12,13.5
54,-78.9707565307617,38.5925216674805,250.407005310059,-99.1630325317383,38.333366394043,6.5270550733668795,19.110016316701596,-0.33533638590515363,-0.9420984599754262,0.9420984599754262,-0.33533638590515363,71.14232054636545,18.857679453634546,6.693938980678475,6.5825719150321635,36.31547516638308,99.99999999999946,100,91.06215169485623,54.199748970676104,0.5,2.8,20,15,12,13.5
55,-82.0214385986328,37.4892616271973,246.908798217773,-100.123840332031,36.162483215332,5.879207902506681,17.17242568511021,-0.3921958661499781,-0.9198817329281349,0.9198817329281348,-0.3921958661499781,71.10067953959152,18.899320460408475,4.650958362343566,6.5971073684731705,36.28071723720707,99.99999912718164,100,91.03333510613902,54.089533842689264,0.5,2.8,20,15,12,13.5
56,-85.0549240112305,36.1831398010254,243.320899963379,-100.910209655762,34.0085906982422,5.175877478021342,15.143613802610442,-0.44899309081271344,-0.893535228405935,0.893535228405935,-0.44899309081271344,71.13028233579723,18.869717664202767,2.5037104032190634,6.58677404324144,35.267728285547236,97.14178087507031,100,88.9784238921705,52.092489250018446,0.5,2.8,20,15,12,13.5
57,-88.0382995605469,34.6744117736816,239.922897338867,-101.694328308105,31.925760269165,4.4653725581127865,13.194796480608096,-0.5011649532389026,-0.8653517721973236,0.8653517721973234,-0.5011649532389028,71.30319336236657,18.69680663763343,0.4299033107704844,6.526416708708673,0.0006144807064859641,0.0016857857614269475,100,18.27519574579726,-18.27273782297131,0.5,2.8,20,15,12,13.5
